site,sensor,date,year,month,day,hour.24,hour,lat,lon,microsite,rep,temp,intensity,pendant.id,timeblock,soil.moisture,cover.type
panoche,hobo.pendant,05/23/19,2019,5,23,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,51.874,256,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,55.711,1536,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,65.68,5632,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,83.579,13312,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,83.399,7936,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,96.168,14848,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,86.641,5888,20578912,afternoon,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,79.678,512,20578912,evening,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,71.339,2944,20578912,evening,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,57.958,896,20578912,evening,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,62.598,2944,20578912,evening,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,64.996,248,20578912,evening,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,63.111,1216,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,56.577,34,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,54.669,,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,53.798,,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,52.925,,20578912,morning,23,15
panoche,hobo.pendant,05/23/19,2019,5,23,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,51.172,,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,49.582,,20578912,afternoon,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,49.05,,20578912,evening,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,48.517,,20578912,evening,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,47.802,,20578912,evening,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,47.088,,20578912,evening,23,15
