site,sensor,year,month,day,hour,microsite,temp,RH
Panoche,station,2014,1,12,12,site,13.56,58
Panoche,station,2014,1,12,13,site,14.28,47
Panoche,station,2014,1,12,14,site,15.06,42
Panoche,station,2014,1,12,15,site,15.61,37
Panoche,station,2014,1,12,16,site,15.11,36
Panoche,station,2014,1,12,17,site,13.39,41
Panoche,station,2014,1,12,18,site,10.28,51
Panoche,station,2014,1,12,19,site,7.83,58
Panoche,station,2014,1,12,20,site,5.83,62
Panoche,station,2014,1,12,21,site,4.56,64
Panoche,station,2014,1,12,22,site,3.56,66
Panoche,station,2014,1,12,23,site,3.22,68
Panoche,station,2014,1,12,24,site,1.72,75
Panoche,station,2014,1,13,1,site,1.28,76
Panoche,station,2014,1,13,2,site,0.17,77
Panoche,station,2014,1,13,3,site,-1.06,82
Panoche,station,2014,1,13,4,site,-1.17,84
Panoche,station,2014,1,13,5,site,-2.5,89
Panoche,station,2014,1,13,6,site,-2.83,89
Panoche,station,2014,1,13,7,site,-3.28,90
Panoche,station,2014,1,13,8,site,-3.61,92
Panoche,station,2014,1,13,9,site,-0.11,91
Panoche,station,2014,1,13,10,site,5.22,75
Panoche,station,2014,1,13,11,site,9,60
Panoche,station,2014,1,13,12,site,11.94,50
Panoche,station,2014,1,13,13,site,13.83,42
Panoche,station,2014,1,13,14,site,15.44,37
Panoche,station,2014,1,13,15,site,16.17,35
Panoche,station,2014,1,13,16,site,16.33,36
Panoche,station,2014,1,13,17,site,15,38
Panoche,station,2014,1,13,18,site,10.78,44
Panoche,station,2014,1,13,19,site,8.28,57
Panoche,station,2014,1,13,20,site,6.72,67
Panoche,station,2014,1,13,21,site,4.56,73
Panoche,station,2014,1,13,22,site,3.56,74
Panoche,station,2014,1,13,23,site,2.39,74
Panoche,station,2014,1,13,24,site,2.06,83
Panoche,station,2014,1,14,1,site,2,87
Panoche,station,2014,1,14,2,site,0.39,87
Panoche,station,2014,1,14,3,site,-0.61,84
Panoche,station,2014,1,14,4,site,-0.5,82
Panoche,station,2014,1,14,5,site,-1,81
Panoche,station,2014,1,14,6,site,-1.72,83
Panoche,station,2014,1,14,7,site,-2.44,81
Panoche,station,2014,1,14,8,site,-1.89,80
Panoche,station,2014,1,14,9,site,2.94,72
Panoche,station,2014,1,14,10,site,8.17,59
Panoche,station,2014,1,14,11,site,11.83,53
Panoche,station,2014,1,14,12,site,14.11,46
Panoche,station,2014,1,14,13,site,16.06,41
Panoche,station,2014,1,14,14,site,17.22,39
Panoche,station,2014,1,14,15,site,18.33,36
Panoche,station,2014,1,14,16,site,18.33,36
Panoche,station,2014,1,14,17,site,16.28,41
Panoche,station,2014,1,14,18,site,12.28,48
Panoche,station,2014,1,14,19,site,9.83,54
Panoche,station,2014,1,14,20,site,7.17,57
Panoche,station,2014,1,14,21,site,5.72,61
Panoche,station,2014,1,14,22,site,5.06,64
Panoche,station,2014,1,14,23,site,3.44,67
Panoche,station,2014,1,14,24,site,2.33,70
Panoche,station,2014,1,15,1,site,1.17,71
Panoche,station,2014,1,15,2,site,0.56,74
Panoche,station,2014,1,15,3,site,0.72,80
Panoche,station,2014,1,15,4,site,-0.22,82
Panoche,station,2014,1,15,5,site,-0.89,84
Panoche,station,2014,1,15,6,site,-1.33,85
Panoche,station,2014,1,15,7,site,-2.72,84
Panoche,station,2014,1,15,8,site,-1.89,86
Panoche,station,2014,1,15,9,site,2.22,83
Panoche,station,2014,1,15,10,site,6.78,70
