site,sensor,date,year,month,day,hour,lat,lon,microsite,rep,temp,intensity,pendant.id
panoche,hobo.pendant,05/23/19,2019,5,23,12:24:11,36.69532,-120.79684,shrub.soil,1,102.697,17,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,13:24:11,36.69532,-120.79684,shrub.soil,1,85.554,1,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,14:24:11,36.69532,-120.79684,shrub.soil,1,80.911,1,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,15:24:11,36.69532,-120.79684,shrub.soil,1,72.199,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,16:24:11,36.69532,-120.79684,shrub.soil,1,64.825,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,17:24:11,36.69532,-120.79684,shrub.soil,1,65.851,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,18:24:11,36.69532,-120.79684,shrub.soil,1,65.509,1,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,19:24:11,36.69532,-120.79684,shrub.soil,1,63.455,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,20:24:11,36.69532,-120.79684,shrub.soil,1,60.712,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,21:24:11,36.69532,-120.79684,shrub.soil,1,58.993,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,22:24:11,36.69532,-120.79684,shrub.soil,1,57.958,,1174238
panoche,hobo.pendant,05/23/19,2019,5,23,23:24:11,36.69532,-120.79684,shrub.soil,1,56.404,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,00:24:11,36.69532,-120.79684,shrub.soil,1,54.842,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,01:24:11,36.69532,-120.79684,shrub.soil,1,53.623,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,02:24:11,36.69532,-120.79684,shrub.soil,1,52.925,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,03:24:11,36.69532,-120.79684,shrub.soil,1,52.401,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,04:24:11,36.69532,-120.79684,shrub.soil,1,51.699,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,05:24:11,36.69532,-120.79684,shrub.soil,1,50.995,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,06:24:11,36.69532,-120.79684,shrub.soil,1,51.699,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,07:24:11,36.69532,-120.79684,shrub.soil,1,59.68,4,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,08:24:11,36.69532,-120.79684,shrub.soil,1,71.683,1,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,09:24:11,36.69532,-120.79684,shrub.soil,1,80.559,18,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,10:24:11,36.69532,-120.79684,shrub.soil,1,91.24,25,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,11:24:11,36.69532,-120.79684,shrub.soil,1,96.555,23,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,12:24:11,36.69532,-120.79684,shrub.soil,1,104.747,28,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,13:24:11,36.69532,-120.79684,shrub.soil,1,108.75,22,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,14:24:11,36.69532,-120.79684,shrub.soil,1,100.083,16,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,15:24:11,36.69532,-120.79684,shrub.soil,1,96.361,15,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,16:24:11,36.69532,-120.79684,shrub.soil,1,90.309,4,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,17:24:11,36.69532,-120.79684,shrub.soil,1,79.678,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,18:24:11,36.69532,-120.79684,shrub.soil,1,74.446,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,19:24:11,36.69532,-120.79684,shrub.soil,1,71.168,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,20:24:11,36.69532,-120.79684,shrub.soil,1,66.193,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,21:24:11,36.69532,-120.79684,shrub.soil,1,63.282,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,22:24:11,36.69532,-120.79684,shrub.soil,1,61.398,,1174238
panoche,hobo.pendant,05/24/19,2019,5,24,23:24:11,36.69532,-120.79684,shrub.soil,1,60.368,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,00:24:11,36.69532,-120.79684,shrub.soil,1,59.337,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,01:24:11,36.69532,-120.79684,shrub.soil,1,58.303,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,02:24:11,36.69532,-120.79684,shrub.soil,1,57.614,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,03:24:11,36.69532,-120.79684,shrub.soil,1,57.614,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,04:24:11,36.69532,-120.79684,shrub.soil,1,56.577,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,05:24:11,36.69532,-120.79684,shrub.soil,1,56.057,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,06:24:11,36.69532,-120.79684,shrub.soil,1,56.923,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,07:24:11,36.69532,-120.79684,shrub.soil,1,62.598,5,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,08:24:11,36.69532,-120.79684,shrub.soil,1,74.791,12,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,09:24:11,36.69532,-120.79684,shrub.soil,1,86.459,22,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,10:24:11,36.69532,-120.79684,shrub.soil,1,98.897,22,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,11:24:11,36.69532,-120.79684,shrub.soil,1,107.258,25,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,12:24:11,36.69532,-120.79684,shrub.soil,1,104.54,27,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,13:24:11,36.69532,-120.79684,shrub.soil,1,115.178,24,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,14:24:11,36.69532,-120.79684,shrub.soil,1,117.498,23,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,15:24:11,36.69532,-120.79684,shrub.soil,1,107.258,15,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,16:24:11,36.69532,-120.79684,shrub.soil,1,96.361,5,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,17:24:11,36.69532,-120.79684,shrub.soil,1,83.579,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,18:24:11,36.69532,-120.79684,shrub.soil,1,76.528,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,19:24:11,36.69532,-120.79684,shrub.soil,1,70.651,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,20:24:11,36.69532,-120.79684,shrub.soil,1,66.193,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,21:24:11,36.69532,-120.79684,shrub.soil,1,63.111,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,22:24:11,36.69532,-120.79684,shrub.soil,1,60.712,,1174238
panoche,hobo.pendant,05/25/19,2019,5,25,23:24:11,36.69532,-120.79684,shrub.soil,1,58.993,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,00:24:11,36.69532,-120.79684,shrub.soil,1,57.096,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,01:24:11,36.69532,-120.79684,shrub.soil,1,55.364,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,02:24:11,36.69532,-120.79684,shrub.soil,1,54.669,,1174238
